cube x_low x_high y_low y_high
25 -3.75 5.25 -20.25 -10.75
26 -3.75 5.25 -20.75 -11.25
27 -4.75 4.25 -20.75 -11.25
28 6.25 15.75 -20.25 -10.75
29 6.25 15.75 -20.75 -11.25
30 5.25 15.25 -20.75 -11.25
31 16.75 25.75 -20.25 -10.75
32 16.25 25.75 -20.75 -11.25
33 15.75 25.75 -20.75 -11.25
34 26.75 34.75 -20.25 -10.75
35 26.75 34.75 -20.75 -10.75
36 26.75 34.75 -20.75 -11.25
37 37.25 47.25 -20.25 -10.75
38 36.75 46.75 -20.75 -10.75
39 36.75 46.25 -20.25 -10.75
46 -3.75 5.25 -9.75 -0.75
47 -4.75 5.25 -9.75 -0.75
48 -4.75 4.75 -10.75 -0.75
49 6.25 15.75 -9.75 -0.75
50 5.75 15.75 -9.75 -0.75
51 5.25 15.25 -10.75 -0.75
52 16.25 25.75 -9.75 -0.75
53 16.25 25.75 -9.75 -0.75
54 15.75 25.75 -10.75 -0.75
55 26.75 33.75 -9.75 -0.75
56 26.75 33.75 -10.75 -0.75
57 25.75 33.75 -10.75 -0.75
58 36.75 46.75 -9.75 -0.25
59 36.75 46.75 -10.75 -0.75
60 36.25 45.25 -10.75 -0.75
67 -3.75 5.25 0.25 9.75
68 -4.75 5.25 0.25 9.25
69 -4.75 4.75 0.25 9.25
70 6.25 15.75 0.25 9.75
71 5.75 15.75 0.25 9.75
72 5.25 15.25 0.25 9.25
73 16.75 25.75 0.25 9.75
74 16.25 25.75 0.25 9.75
75 15.75 25.25 0.25 9.25
76 26.75 33.75 0.25 9.75
77 26.75 33.75 0.25 9.75
78 26.25 33.75 0.25 9.25
79 36.75 47.25 0.25 10.25
80 36.75 46.25 0.25 9.75
81 36.75 46.25 0.25 9.75
88 -3.75 5.25 10.75 19.75
89 -4.75 5.25 10.25 19.75
90 -4.75 4.75 10.25 19.75
91 6.25 15.75 10.75 19.75
92 5.75 15.25 10.25 19.75
93 5.25 15.25 10.25 19.75
94 16.75 25.75 10.75 19.75
95 16.25 25.75 10.25 19.75
96 15.75 25.75 10.25 19.75
97 26.75 33.75 10.75 20.25
98 26.75 33.75 10.25 19.75
99 26.75 33.75 10.25 19.75
100 37.25 46.25 10.75 20.25
101 36.75 46.25 10.25 19.75
102 36.75 46.25 10.75 19.75
999 -5.75 48.25 -21.75 21.25
